"Vannlokalitet_kode","Tid_provetak","Provenr","Ca","Cl","K","Mg","N-NO3","Natrium","SO4","TOC"
"079-58878","2021-04-05 00:00:00","439-2021-04070227",1.3,2.1,0.31,0.22,180,1.4,2.36,1.5
"079-58878","2021-05-02 00:00:00","439-2021-05040213",0.69,1.4,0.21,0.16,64,0.87,0.86,0.86
"079-58878","2021-06-06 00:00:00","439-2021-06080111",0.76,0.87,0.26,0.11,33,0.86,1.25,1
"079-58878","2021-07-05 00:00:00","439-2021-07060049",4.4,0.9,0.46,0.23,340,1.5,9.94,0.74
"079-58878","2021-09-22 00:00:00","439-2021-09240080",1,2.1,0.37,0.24,220,1.3,1.48,3.3
"079-58878","2021-10-03 00:00:00","439-2021-10050091",1.2,1.8,0.33,0.2,120,1.2,2,2.2
"079-58878","2021-10-31 00:00:00","439-2021-11020111",0.89,0.98,0.27,0.16,110,0.95,1.71,1.7
"079-58878","2022-02-05 00:00:00","439-2021-12070085",1.5,1.7,0.38,0.32,200,1.3,3.41,0.91
"079-58879","2021-04-05 00:00:00","439-2021-04070231",0.53,1.2,0.16,0.14,75,0.87,0.82,0.98
"079-58879","2021-05-02 00:00:00","439-2021-05040210",1,2.1,0.29,0.18,60,1.3,1.46,1.2
"079-58879","2021-06-06 00:00:00","439-2021-06080113",0.32,1.2,0.13,0.11,45,0.73,0.55,0.48
"079-58879","2021-07-05 00:00:00","439-2021-07060048",0.29,1,0.13,0.11,34,0.74,0.54,0.53
"079-58879","2021-08-02 00:00:00","439-2021-08040099",0.35,0.77,0.14,0.1,27,0.63,0.49,0.53
"079-58879","2021-09-06 00:00:00","439-2021-09070070",0.28,0.78,0.11,0.09,18,0.59,0.45,0.5
"079-58879","2021-09-22 00:00:00","439-2021-09240082",0.88,1.8,0.3,0.21,150,1.1,1.21,2.5
"079-58879","2021-10-03 00:00:00","439-2021-10050094",0.62,1.1,0.23,0.15,58,0.79,0.96,1.9
"079-58879","2021-10-31 00:00:00","439-2021-11020110",0.31,0.95,0.14,0.1,30,0.66,0.47,0.77
"079-58879","2022-02-05 00:00:00","439-2021-12070087",0.24,0.9,0.13,0.09,32,0.62,0.56,0.43
"079-58880","2021-04-05 00:00:00","439-2021-04070229",0.33,1.1,0.13,0.11,49,0.74,0.51,0.94
"079-58880","2021-05-02 00:00:00","439-2021-05040212",0.59,1.2,0.19,0.15,67,0.75,0.7,0.8
"079-58880","2021-06-06 00:00:00","439-2021-06080114",0.28,1.1,0.13,0.11,41,0.72,0.48,0.51
"079-58880","2021-07-05 00:00:00","439-2021-07060050",0.32,1.1,0.22,0.11,34,0.76,0.54,0.77
"079-58880","2021-08-02 00:00:00","439-2021-08040096",0.34,0.87,0.12,0.1,29,0.62,0.47,0.47
"079-58880","2021-09-06 00:00:00","439-2021-09070065",0.27,0.71,0.11,0.09,16,0.6,0.41,0.53
"079-58880","2021-09-22 00:00:00","439-2021-09240077",0.37,0.98,0.14,0.1,19,0.71,0.85,0.72
"079-58880","2021-10-03 00:00:00","439-2021-10050095",0.5,1.2,0.21,0.14,52,0.72,0.79,1.4
"079-58880","2021-10-31 00:00:00","439-2021-11020106",0.28,0.98,0.13,0.1,29,0.64,0.39,0.66
"079-58880","2022-02-05 00:00:00","439-2021-12070089",0.23,0.9,0.13,0.1,32,0.63,0.5,0.43
"079-58881","2021-04-05 00:00:00","439-2021-04070228",1.2,3.5,0.25,0.24,170,1.8,1.43,2.6
"079-58881","2021-05-02 00:00:00","439-2021-05040211",0.91,2.7,0.21,0.19,28,1.6,1.13,2.5
