"Vannlokalitet_kode","Parameter_id","Parameter_navn","Tid_provetak","Tid_provetak2","Verdi","Enhet","Tid_provetakx","Tid_provetaky","Dates","month","year"
"079-58878","Mg",NA,NA,"05.08.2022",0.12,"mg/L",NA,"05.08.2022","05.08.2022","08","2022"
"079-58878","Mg",NA,NA,"05.07.2022",0.13,"mg/L",NA,"05.07.2022","05.07.2022","07","2022"
"079-58878","Mg",NA,NA,"08.06.2022",0.15,"mg/L",NA,"08.06.2022","08.06.2022","06","2022"
"079-58878","Mg",NA,NA,"02.08.2022",0.17,"mg/L",NA,"02.08.2022","02.08.2022","08","2022"
"079-58878","K",NA,NA,"05.07.2022",0.18,"mg/L",NA,"05.07.2022","05.07.2022","07","2022"
"079-58878","K",NA,NA,"05.08.2022",0.18,"mg/L",NA,"05.08.2022","05.08.2022","08","2022"
"079-58878","K",NA,NA,"08.06.2022",0.23,"mg/L",NA,"08.06.2022","08.06.2022","06","2022"
"079-58878","Mg",NA,NA,"01.11.2022",0.27,"mg/L",NA,"01.11.2022","01.11.2022","11","2022"
"079-58878","Mg",NA,NA,"04.10.2022",0.3,"mg/L",NA,"04.10.2022","04.10.2022","10","2022"
"079-58878","K",NA,NA,"02.08.2022",0.33,"mg/L",NA,"02.08.2022","02.08.2022","08","2022"
"079-58878","Mg",NA,NA,"06.05.2022",0.36,"mg/L",NA,"06.05.2022","06.05.2022","05","2022"
"079-58878","Mg",NA,NA,"13.09.2022",0.39,"mg/L",NA,"13.09.2022","13.09.2022","09","2022"
"079-58878","K",NA,NA,"06.05.2022",0.4,"mg/L",NA,"06.05.2022","06.05.2022","05","2022"
"079-58878","Mg",NA,NA,"06.12.2022",0.4,"mg/L",NA,"06.12.2022","06.12.2022","12","2022"
"079-58878","Ca",NA,NA,"05.08.2022",0.41,"mg/L",NA,"05.08.2022","05.08.2022","08","2022"
"079-58878","K",NA,NA,"01.11.2022",0.41,"mg/L",NA,"01.11.2022","01.11.2022","11","2022"
"079-58878","K",NA,NA,"05.04.2022",0.48,"mg/L",NA,"05.04.2022","05.04.2022","04","2022"
"079-58878","K",NA,NA,"04.10.2022",0.53,"mg/L",NA,"04.10.2022","04.10.2022","10","2022"
"079-58878","K",NA,NA,"06.12.2022",0.53,"mg/L",NA,"06.12.2022","06.12.2022","12","2022"
"079-58878","Mg",NA,NA,"05.04.2022",0.54,"mg/L",NA,"05.04.2022","05.04.2022","04","2022"
"079-58878","Ca",NA,NA,"05.07.2022",0.57,"mg/L",NA,"05.07.2022","05.07.2022","07","2022"
"079-58878","K",NA,NA,"13.09.2022",0.62,"mg/L",NA,"13.09.2022","13.09.2022","09","2022"
"079-58878","Natrium",NA,NA,"05.08.2022",0.66,"mg/L",NA,"05.08.2022","05.08.2022","08","2022"
"079-58878","Ca",NA,NA,"08.06.2022",0.72,"mg/L",NA,"08.06.2022","08.06.2022","06","2022"
"079-58878","Ca",NA,NA,"21.06.2022",0.74,"mg/L",NA,"21.06.2022","21.06.2022","06","2022"
"079-58878","Cl",NA,NA,"05.08.2022",0.76,"mg/L",NA,"05.08.2022","05.08.2022","08","2022"
"079-58878","TOC",NA,NA,"13.09.2022",0.76,"mg/L",NA,"13.09.2022","13.09.2022","09","2022"
"079-58878","TOC",NA,NA,"20.04.2022",0.77,"mg/L",NA,"20.04.2022","20.04.2022","04","2022"
"079-58878","Cl",NA,NA,"05.07.2022",0.78,"mg/L",NA,"05.07.2022","05.07.2022","07","2022"
"079-58878","Ca",NA,NA,"15.02.2022",0.78,"mg/L",NA,"15.02.2022","15.02.2022","02","2022"
"079-58878","TOC",NA,NA,"01.03.2022",0.78,"mg/L",NA,"01.03.2022","01.03.2022","03","2022"
"079-58878","Ca",NA,NA,"20.05.2022",0.8,"mg/L",NA,"20.05.2022","20.05.2022","05","2022"
"079-58878","Ca",NA,NA,"04.01.2022",0.81,"mg/L",NA,"04.01.2022","04.01.2022","01","2022"
"079-58878","Ca",NA,NA,"24.05.2022",0.84,"mg/L",NA,"24.05.2022","24.05.2022","05","2022"
"079-58878","Natrium",NA,NA,"05.07.2022",0.85,"mg/L",NA,"05.07.2022","05.07.2022","07","2022"
"079-58878","TOC",NA,NA,"01.02.2022",0.85,"mg/L",NA,"01.02.2022","01.02.2022","02","2022"
"079-58878","TOC",NA,NA,"05.04.2022",0.85,"mg/L",NA,"05.04.2022","05.04.2022","04","2022"
"079-58878","SO4",NA,NA,"05.08.2022",0.86,"mg/L",NA,"05.08.2022","05.08.2022","08","2022"
"079-58878","Ca",NA,NA,"20.07.2022",0.91,"mg/L",NA,"20.07.2022","20.07.2022","07","2022"
"079-58878","TOC",NA,NA,"02.08.2022",0.94,"mg/L",NA,"02.08.2022","02.08.2022","08","2022"
"079-58878","TOC",NA,NA,"04.01.2022",0.95,"mg/L",NA,"04.01.2022","04.01.2022","01","2022"
"079-58878","Cl",NA,NA,"02.08.2022",0.96,"mg/L",NA,"02.08.2022","02.08.2022","08","2022"
"079-58878","Ca",NA,NA,"31.05.2022",0.99,"mg/L",NA,"31.05.2022","31.05.2022","05","2022"
"079-58878","TOC",NA,NA,"06.05.2022",1,"mg/L",NA,"06.05.2022","06.05.2022","05","2022"
"079-58878","Cl",NA,NA,"13.09.2022",1.1,"mg/L",NA,"13.09.2022","13.09.2022","09","2022"
"079-58878","Cl",NA,NA,"06.12.2022",1.1,"mg/L",NA,"06.12.2022","06.12.2022","12","2022"
"079-58878","Ca",NA,NA,"18.01.2022",1.1,"mg/L",NA,"18.01.2022","18.01.2022","01","2022"
"079-58878","TOC",NA,NA,"27.04.2022",1.1,"mg/L",NA,"27.04.2022","27.04.2022","04","2022"
"079-58878","TOC",NA,NA,"06.12.2022",1.1,"mg/L",NA,"06.12.2022","06.12.2022","12","2022"
"079-58878","SO4",NA,NA,"05.07.2022",1.12,"mg/L",NA,"05.07.2022","05.07.2022","07","2022"
"079-58878","Cl",NA,NA,"08.06.2022",1.2,"mg/L",NA,"08.06.2022","08.06.2022","06","2022"
"079-58878","Cl",NA,NA,"04.10.2022",1.2,"mg/L",NA,"04.10.2022","04.10.2022","10","2022"
"079-58878","Ca",NA,NA,"18.10.2022",1.2,"mg/L",NA,"18.10.2022","18.10.2022","10","2022"
"079-58878","Natrium",NA,NA,"08.06.2022",1.2,"mg/L",NA,"08.06.2022","08.06.2022","06","2022"
"079-58878","TOC",NA,NA,"10.05.2022",1.2,"mg/L",NA,"10.05.2022","10.05.2022","05","2022"
"079-58878","Ca",NA,NA,"10.05.2022",1.3,"mg/L",NA,"10.05.2022","10.05.2022","05","2022"
"079-58878","Natrium",NA,NA,"02.08.2022",1.3,"mg/L",NA,"02.08.2022","02.08.2022","08","2022"
"079-58878","TOC",NA,NA,"04.10.2022",1.3,"mg/L",NA,"04.10.2022","04.10.2022","10","2022"
"079-58878","TOC",NA,NA,"31.05.2022",1.4,"mg/L",NA,"31.05.2022","31.05.2022","05","2022"
"079-58878","Ca",NA,NA,"27.04.2022",1.5,"mg/L",NA,"27.04.2022","27.04.2022","04","2022"
"079-58878","TOC",NA,NA,"24.05.2022",1.5,"mg/L",NA,"24.05.2022","24.05.2022","05","2022"
"079-58878","TOC",NA,NA,"08.06.2022",1.5,"mg/L",NA,"08.06.2022","08.06.2022","06","2022"
"079-58878","TOC",NA,NA,"05.08.2022",1.5,"mg/L",NA,"05.08.2022","05.08.2022","08","2022"
"079-58878","SO4",NA,NA,"08.06.2022",1.59,"mg/L",NA,"08.06.2022","08.06.2022","06","2022"
"079-58878","Ca",NA,NA,"06.05.2022",1.6,"mg/L",NA,"06.05.2022","06.05.2022","05","2022"
"079-58878","Ca",NA,NA,"15.11.2022",1.6,"mg/L",NA,"15.11.2022","15.11.2022","11","2022"
"079-58878","Ca",NA,NA,"29.11.2022",1.6,"mg/L",NA,"29.11.2022","29.11.2022","11","2022"
"079-58878","TOC",NA,NA,"01.11.2022",1.6,"mg/L",NA,"01.11.2022","01.11.2022","11","2022"
"079-58878","Ca",NA,NA,"29.03.2022",1.7,"mg/L",NA,"29.03.2022","29.03.2022","03","2022"
"079-58878","Ca",NA,NA,"20.09.2022",1.7,"mg/L",NA,"20.09.2022","20.09.2022","09","2022"
"079-58878","Natrium",NA,NA,"01.11.2022",1.7,"mg/L",NA,"01.11.2022","01.11.2022","11","2022"
"079-58878","TOC",NA,NA,"20.05.2022",1.7,"mg/L",NA,"20.05.2022","20.05.2022","05","2022"
"079-58878","Ca",NA,NA,"01.02.2022",1.8,"mg/L",NA,"01.02.2022","01.02.2022","02","2022"
"079-58878","Ca",NA,NA,"23.03.2022",1.8,"mg/L",NA,"23.03.2022","23.03.2022","03","2022"
"079-58878","Natrium",NA,NA,"06.12.2022",1.8,"mg/L",NA,"06.12.2022","06.12.2022","12","2022"
"079-58878","Ca",NA,NA,"22.02.2022",1.9,"mg/L",NA,"22.02.2022","22.02.2022","02","2022"
"079-58878","Ca",NA,NA,"01.03.2022",1.9,"mg/L",NA,"01.03.2022","01.03.2022","03","2022"
"079-58878","Ca",NA,NA,"16.03.2022",2,"mg/L",NA,"16.03.2022","16.03.2022","03","2022"
"079-58878","Ca",NA,NA,"05.04.2022",2,"mg/L",NA,"05.04.2022","05.04.2022","04","2022"
"079-58878","Natrium",NA,NA,"04.10.2022",2,"mg/L",NA,"04.10.2022","04.10.2022","10","2022"
"079-58878","Ca",NA,NA,"09.03.2022",2.1,"mg/L",NA,"09.03.2022","09.03.2022","03","2022"
"079-58878","Ca",NA,NA,"12.04.2022",2.1,"mg/L",NA,"12.04.2022","12.04.2022","04","2022"
"079-58878","Ca",NA,NA,"20.04.2022",2.2,"mg/L",NA,"20.04.2022","20.04.2022","04","2022"
"079-58878","Cl",NA,NA,"01.11.2022",2.3,"mg/L",NA,"01.11.2022","01.11.2022","11","2022"
"079-58878","Ca",NA,NA,"16.08.2022",2.3,"mg/L",NA,"16.08.2022","16.08.2022","08","2022"
"079-58878","Natrium",NA,NA,"06.05.2022",2.4,"mg/L",NA,"06.05.2022","06.05.2022","05","2022"
"079-58878","Natrium",NA,NA,"13.09.2022",2.4,"mg/L",NA,"13.09.2022","13.09.2022","09","2022"
"079-58878","Ca",NA,NA,"22.12.2022",2.5,"mg/L",NA,"22.12.2022","22.12.2022","12","2022"
"079-58878","Ca",NA,NA,"02.08.2022",2.7,"mg/L",NA,"02.08.2022","02.08.2022","08","2022"
"079-58878","Ca",NA,NA,"01.11.2022",2.7,"mg/L",NA,"01.11.2022","01.11.2022","11","2022"
"079-58878","Natrium",NA,NA,"05.04.2022",2.7,"mg/L",NA,"05.04.2022","05.04.2022","04","2022"
"079-58878","SO4",NA,NA,"05.04.2022",2.87,"mg/L",NA,"05.04.2022","05.04.2022","04","2022"
"079-58878","SO4",NA,NA,"06.05.2022",2.93,"mg/L",NA,"06.05.2022","06.05.2022","05","2022"
"079-58878","TOC",NA,NA,"05.07.2022",3.2,"mg/L",NA,"05.07.2022","05.07.2022","07","2022"
"079-58878","Ca",NA,NA,"14.01.2022",3.5,"mg/L",NA,"14.01.2022","14.01.2022","01","2022"
"079-58878","Ca",NA,NA,"30.08.2022",3.9,"mg/L",NA,"30.08.2022","30.08.2022","08","2022"
"079-58878","TOC",NA,NA,"14.01.2022",4.2,"mg/L",NA,"14.01.2022","14.01.2022","01","2022"
"079-58878","Cl",NA,NA,"06.05.2022",4.4,"mg/L",NA,"06.05.2022","06.05.2022","05","2022"
"079-58878","Ca",NA,NA,"06.12.2022",5,"mg/L",NA,"06.12.2022","06.12.2022","12","2022"
"079-58878","Ca",NA,NA,"04.10.2022",5.1,"mg/L",NA,"04.10.2022","04.10.2022","10","2022"
"079-58878","SO4",NA,NA,"01.11.2022",5.36,"mg/L",NA,"01.11.2022","01.11.2022","11","2022"
"079-58878","SO4",NA,NA,"02.08.2022",6.57,"mg/L",NA,"02.08.2022","02.08.2022","08","2022"
