"Vannlokalitet_kode","Dates","Ca","Cl","K","Mg","N-NO3","Natrium","SO4","TOC"
"079-58880","01.11.2022",0.24,1.2,0.14,0.11,25,0.76,0.47,0.73
"079-58880","02.08.2022",0.26,1.2,0.12,0.1,21,0.74,0.59,0.31
"079-58880","04.10.2022",0.23,0.79,0.13,0.08,10,0.63,0.5,0.72
"079-58880","05.04.2022",0.52,1.6,0.16,0.16,64,0.93,0.78,0.64
"079-58880","05.07.2022",0.29,1.6,0.14,0.14,35,0.9,0.59,NA
"079-58880","05.08.2022",0.28,1.1,0.18,0.14,17,0.76,0.55,0.49
"079-58880","06.05.2022",0.65,2.7,0.22,0.26,59,1.5,0.94,0.44
"079-58880","06.12.2022",0.26,0.82,0.14,0.1,17,0.68,0.44,0.8
"079-58880","08.06.2022",0.44,2.1,0.26,0.24,54,1.3,0.71,0.59
"079-58880","13.09.2022",0.27,0.83,0.14,0.1,12,0.66,0.53,0.71
