"Vannlokalitet_kode","Parameter_id","Parameter_navn","Tid_provetak","Tid_provetak2","Verdi","Enhet","Tid_provetakx","Date","month","year","day"
"079-58883","Ca","Kalsium","21.05.2018 00:00",NA,0.08,"mg/l","21.05.2018"," 21.05.2018","05","2018","21"
"079-58883","Mg",NA,NA,"04.10.2022",0.09,"mg/L",NA,"04.10.2022 ","10","2022","04"
"079-58883","Mg","Magnesium","06.09.2021 00:00",NA,0.1,"mg/l","06.09.2021"," 06.09.2021","09","2021","06"
"079-58883","Mg",NA,NA,"02.08.2022",0.1,"mg/L",NA,"02.08.2022 ","08","2022","02"
"079-58883","Mg","Magnesium","05.02.2022 00:00",NA,0.1,"mg/l","05.02.2022"," 05.02.2022","02","2022","05"
"079-58883","Mg",NA,NA,"06.12.2022",0.1,"mg/L",NA,"06.12.2022 ","12","2022","06"
"079-58883","Mg","Magnesium","02.08.2021 00:00",NA,0.11,"mg/l","02.08.2021"," 02.08.2021","08","2021","02"
"079-58883","Mg",NA,NA,"13.09.2022",0.11,"mg/L",NA,"13.09.2022 ","09","2022","13"
"079-58883","Mg","Magnesium","31.10.2021 00:00",NA,0.12,"mg/l","31.10.2021"," 31.10.2021","10","2021","31"
"079-58883","Mg","Magnesium","05.07.2021 00:00",NA,0.12,"mg/l","05.07.2021"," 05.07.2021","07","2021","05"
"079-58883","Mg","Magnesium","06.06.2021 00:00",NA,0.12,"mg/l","06.06.2021"," 06.06.2021","06","2021","06"
"079-58883","K",NA,NA,"02.08.2022",0.13,"mg/L",NA,"02.08.2022 ","08","2022","02"
"079-58883","Mg",NA,NA,"05.08.2022",0.14,"mg/L",NA,"05.08.2022 ","08","2022","05"
"079-58883","K","Kalium","05.02.2022 00:00",NA,0.15,"mg/l","05.02.2022"," 05.02.2022","02","2022","05"
"079-58883","K",NA,NA,"04.10.2022",0.15,"mg/L",NA,"04.10.2022 ","10","2022","04"
"079-58883","K","Kalium","02.08.2021 00:00",NA,0.16,"mg/l","02.08.2021"," 02.08.2021","08","2021","02"
"079-58883","K","Kalium","06.09.2021 00:00",NA,0.16,"mg/l","06.09.2021"," 06.09.2021","09","2021","06"
"079-58883","K",NA,NA,"13.09.2022",0.16,"mg/L",NA,"13.09.2022 ","09","2022","13"
"079-58883","Mg",NA,NA,"05.07.2022",0.16,"mg/L",NA,"05.07.2022 ","07","2022","05"
"079-58883","Mg",NA,NA,"01.11.2022",0.16,"mg/L",NA,"01.11.2022 ","11","2022","01"
"079-58883","K","Kalium","06.06.2021 00:00",NA,0.17,"mg/l","06.06.2021"," 06.06.2021","06","2021","06"
"079-58883","Mg","Magnesium","02.05.2021 00:00",NA,0.17,"mg/l","02.05.2021"," 02.05.2021","05","2021","02"
"079-58883","K",NA,NA,"06.12.2022",0.17,"mg/L",NA,"06.12.2022 ","12","2022","06"
"079-58883","K","Kalium","31.10.2021 00:00",NA,0.18,"mg/l","31.10.2021"," 31.10.2021","10","2021","31"
"079-58883","Mg","Magnesium","03.10.2021 00:00",NA,0.18,"mg/l","03.10.2021"," 03.10.2021","10","2021","03"
"079-58883","K",NA,NA,"05.08.2022",0.18,"mg/L",NA,"05.08.2022 ","08","2022","05"
"079-58883","K",NA,NA,"05.07.2022",0.19,"mg/L",NA,"05.07.2022 ","07","2022","05"
"079-58883","Ca","Kalsium","05.09.2016 00:00",NA,0.2,"mg/l","05.09.2016"," 05.09.2016","09","2016","05"
"079-58883","Ca","Kalsium","22.06.2020 00:00",NA,0.2,"mg/l","22.06.2020"," 22.06.2020","06","2020","22"
"079-58883","Ca","Kalsium","04.09.2017 00:00",NA,0.21,"mg/l","04.09.2017"," 04.09.2017","09","2017","04"
"079-58883","K","Kalium","05.07.2021 00:00",NA,0.21,"mg/l","05.07.2021"," 05.07.2021","07","2021","05"
"079-58883","Mg","Magnesium","22.09.2021 00:00",NA,0.21,"mg/l","22.09.2021"," 22.09.2021","09","2021","22"
"079-58883","Mg",NA,NA,"08.06.2022",0.21,"mg/L",NA,"08.06.2022 ","06","2022","08"
"079-58883","Mg","Magnesium","05.04.2021 00:00",NA,0.22,"mg/l","05.04.2021"," 05.04.2021","04","2021","05"
"079-58883","Mg",NA,NA,"05.04.2022",0.22,"mg/L",NA,"05.04.2022 ","04","2022","05"
"079-58883","Ca","Kalsium","28.08.2017 00:00",NA,0.23,"mg/l","28.08.2017"," 28.08.2017","08","2017","28"
"079-58883","Ca","Kalsium","28.05.2018 00:00",NA,0.23,"mg/l","28.05.2018"," 28.05.2018","05","2018","28"
"079-58883","K",NA,NA,"01.11.2022",0.23,"mg/L",NA,"01.11.2022 ","11","2022","01"
"079-58883","Ca","Kalsium","17.10.2016 00:00",NA,0.25,"mg/l","17.10.2016"," 17.10.2016","10","2016","17"
"079-58883","K","Kalium","02.05.2021 00:00",NA,0.25,"mg/l","02.05.2021"," 02.05.2021","05","2021","02"
"079-58883","Ca","Kalsium","02.10.2017 00:00",NA,0.26,"mg/l","02.10.2017"," 02.10.2017","10","2017","02"
"079-58883","Ca","Kalsium","19.09.2016 00:00",NA,0.27,"mg/l","19.09.2016"," 19.09.2016","09","2016","19"
"079-58883","Ca","Kalsium","18.01.2016 00:00",NA,0.27,"mg/l","18.01.2016"," 18.01.2016","01","2016","18"
"079-58883","K","Kalium","03.10.2021 00:00",NA,0.27,"mg/l","03.10.2021"," 03.10.2021","10","2021","03"
"079-58883","K",NA,NA,"08.06.2022",0.27,"mg/L",NA,"08.06.2022 ","06","2022","08"
"079-58883","Ca","Kalsium","27.08.2018 00:00",NA,0.28,"mg/l","27.08.2018"," 27.08.2018","08","2018","27"
"079-58883","Ca","Kalsium","10.09.2018 00:00",NA,0.28,"mg/l","10.09.2018"," 10.09.2018","09","2018","10"
"079-58883","K",NA,NA,"05.04.2022",0.28,"mg/L",NA,"05.04.2022 ","04","2022","05"
"079-58883","K",NA,NA,"06.05.2022",0.28,"mg/L",NA,"06.05.2022 ","05","2022","06"
"079-58883","Mg",NA,NA,"06.05.2022",0.28,"mg/L",NA,"06.05.2022 ","05","2022","06"
"079-58883","Ca","Kalsium","22.08.2016 00:00",NA,0.29,"mg/l","22.08.2016"," 22.08.2016","08","2016","22"
"079-58883","Ca","Kalsium","18.10.2015 00:00",NA,0.29,"mg/l","18.10.2015"," 18.10.2015","10","2015","18"
"079-58883","Ca","Kalsium","10.08.2020 00:00",NA,0.29,"mg/l","10.08.2020"," 10.08.2020","08","2020","10"
"079-58883","Ca","Kalsium","05.01.2021 00:00",NA,0.29,"mg/l","05.01.2021"," 05.01.2021","01","2021","05"
"079-58883","K","Kalium","05.04.2021 00:00",NA,0.29,"mg/l","05.04.2021"," 05.04.2021","04","2021","05"
"079-58883","Ca","Kalsium","08.08.2016 00:00",NA,0.3,"mg/l","08.08.2016"," 08.08.2016","08","2016","08"
"079-58883","Ca","Kalsium","18.08.2008 00:00",NA,0.3,"mg/l","18.08.2008"," 18.08.2008","08","2008","18"
"079-58883","Ca","Kalsium","21.07.2008 00:00",NA,0.3,"mg/l","21.07.2008"," 21.07.2008","07","2008","21"
"079-58883","Ca","Kalsium","05.03.2018 00:00",NA,0.3,"mg/l","05.03.2018"," 05.03.2018","03","2018","05"
"079-58883","Ca","Kalsium","06.07.2020 00:00",NA,0.3,"mg/l","06.07.2020"," 06.07.2020","07","2020","06"
"079-58883","Ca","Kalsium","05.02.2022 00:00",NA,0.3,"mg/l","05.02.2022"," 05.02.2022","02","2022","05"
