"Vannlokalitet_kode","Dates","Ca","Cl","K","Mg","N-NO3","Natrium","SO4","TOC"
"079-58883","01.11.2022",0.59,1.5,0.23,0.16,97,1,1.07,1.1
"079-58883","02.05.2021",0.82,1.6,0.25,0.17,100,1.1,1.13,1.5
"079-58883","02.08.2021",0.45,0.99,0.16,0.11,43,0.66,0.58,0.61
"079-58883","02.08.2022",0.31,1.2,0.13,0.1,30,0.78,0.77,0.38
"079-58883","03.10.2021",0.77,1.4,0.27,0.18,120,0.98,1.29,1.7
"079-58883","04.10.2022",0.34,0.84,0.15,0.09,30,0.69,0.75,0.8
"079-58883","05.02.2022",0.3,0.95,0.15,0.1,49,0.68,0.64,0.54
"079-58883","05.04.2021",1.1,2,0.29,0.22,270,1.5,1.69,1.4
"079-58883","05.04.2022",0.99,2.6,0.28,0.22,120,1.4,1.38,0.81
"079-58883","05.07.2021",0.36,1.1,0.21,0.12,46,0.79,0.63,1.1
"079-58883","05.07.2022",0.45,1.5,0.19,0.16,54,1,0.79,1
"079-58883","05.08.2022",0.47,1.2,0.18,0.14,43,0.9,0.89,1.4
"079-58883","06.05.2022",0.88,3,0.28,0.28,69,1.7,1.23,0.71
"079-58883","06.06.2021",0.44,1.3,0.17,0.12,65,0.83,0.75,0.73
"079-58883","06.09.2021",0.37,0.78,0.16,0.1,40,0.68,0.67,0.58
"079-58883","06.12.2022",0.31,0.72,0.17,0.1,29,0.7,0.54,1.4
"079-58883","08.06.2022",0.57,2.1,0.27,0.21,61,1.4,1.01,1
"079-58883","13.09.2022",0.35,0.91,0.16,0.11,24,0.74,0.78,0.55
"079-58883","22.09.2021",1,1.8,0.32,0.21,180,1.2,1.45,3.2
"079-58883","31.10.2021",0.48,1,0.18,0.12,71,0.77,0.74,1.1
